
   583               55 84 - 96kg                        
   584               55 85 - 97kg                        
   585               55 87 - 97kg (light-heavyweight)    
   586               55 90 - 100kg (heavyweight)         
   587               55 96 - 120kg                       

    ID    DISCIPLINE_ID EVENT                           
______ ________________ _______________________________ 
   588               55 97 - 130kg                      
   589               56 + 100kg (super heavyweight)     
   590               56 + 82.5kg (super heavyweight)    
   591               56 + 82kg (super heavyweight)      
   592               56 + 87kg (super heavyweight)      
   593               56 + 93kg (super heavyweight)      
   594               56 + 97kg (super heavyweight)      
   595               56 - 48kg (light-flyweight)        
   596               56 - 52kg (flyweight)              
   597               56 - 55kg                          

    ID    DISCIPLINE_ID EVENT                              
______ ________________ __________________________________ 
   598               56 - 56kg (bantamweight)              
   599               56 - 58kg (bantamweight)              
   600               56 - 60kg (featherweight)             
   601               56 - 66.6kg (lightweight)             
   602               56 100 - 130kg (super heavyweight)    
   603               56 48 - 52kg (flyweight)              
   604               56 48 - 54kg                          
   605               56 52 - 57kg (bantamweight)           
   606               56 54 - 58kg                          
   607               56 55 - 60kg                          

    ID    DISCIPLINE_ID EVENT                        
______ ________________ ____________________________ 
   608               56 56 - 61kg (featherweight)    
   609               56 57 - 61kg (featherweight)    
   610               56 57 - 62kg (featherweight)    
   611               56 57 - 63kg (featherweight)    
   612               56 58 - 60kg (featherweight)    
   613               56 58 - 62kg (featherweight)    
   614               56 58 - 63kg                    
   615               56 60 - 66kg                    
   616               56 60 - 67.5kg (lightweight)    
   617               56 61 - 66kg (lightweight)      

    ID    DISCIPLINE_ID EVENT                         
______ ________________ _____________________________ 
   618               56 61 - 67kg (lightweight)       
   619               56 62 - 67.5kg (lightweight)     
   620               56 62 - 68kg (lightweight)       
   621               56 63 - 69kg                     
   622               56 63 - 70kg (lightweight)       
   623               56 66 - 72kg (welterweight)      
   624               56 66 - 74kg                     
   625               56 66.6 - 73kg (middleweight)    
   626               56 67 - 73kg (welterweight)      
   627               56 67.5 - 75kg (middleweight)    

    ID    DISCIPLINE_ID EVENT                              
______ ________________ __________________________________ 
   628               56 68 - 74kg (welterweight)           
   629               56 69 - 76kg                          
   630               56 70 - 78kg (welterweight)           
   631               56 72 - 79kg (middleweight)           
   632               56 73 - 79kg (middleweight)           
   633               56 73 - 93kg (light-heavyweight)      
   634               56 74 - 82kg (middleweight)           
   635               56 74 - 84kg                          
   636               56 75 - 82.5kg (light-heavyweight)    
   637               56 75 - 82kg (light-heavyweight)      

    ID    DISCIPLINE_ID EVENT                            
______ ________________ ________________________________ 
   638               56 76 - 85kg                        
   639               56 78 - 87kg (middleweight)         
   640               56 79 - 87kg (light-heavyweight)    
   641               56 82 - 90kg (light-heavyweight)    
   642               56 84 - 96kg                        
   643               56 85 - 97kg                        
   644               56 87 - 97kg (light-heavyweight)    
   645               56 90 - 100kg (heavyweight)         
   646               56 96 - 120kg                       
   647               56 97 - 130kg                       

    ID    DISCIPLINE_ID EVENT                                 
______ ________________ _____________________________________ 
   648               56 open event                            
     1                1 10m platform                          
     2                1 3m springboard                        
     3                1 plain high diving                     
     4                1 plunge for distance                   
     5                1 synchronized diving 10m platform      
     6                1 synchronized diving 3m springboard    
     7                2 100m backstroke                       
     8                2 100m breaststroke                     
     9                2 100m butterfly                        

   ID    DISCIPLINE_ID EVENT                         
_____ ________________ _____________________________ 
   10                2 100m freestyle                
